time,date,element,action,n_elem,url,label
2023-05-22,19:48:20,None,Navigation,42,https://www.saucedemo.com/,valid
2023-05-22,19:48:20,/html/body/div/div/div,Mouse_Click,11,https://www.saucedemo.com/inventory.html,fault
2023-05-22,19:48:22,/html/body/div/div,Mouse_Click,42,https://www.saucedemo.com/,valid
2023-05-22,19:48:22,/html/body/div/div,Mouse_Click,42,https://www.saucedemo.com/,valid
2023-05-22,19:48:22,/html/body/div/div,Mouse_Click,42,https://www.saucedemo.com/,valid
2023-05-22,19:48:23,/html/body/div/div/div[2]/div/div/div/form/div[3],Mouse_Click,42,https://www.saucedemo.com/,valid
2023-05-22,19:48:24,/html/body/div/div,Mouse_Click,42,https://www.saucedemo.com/,valid
2023-05-22,19:48:24,/html/body/div/div,Mouse_Click,42,https://www.saucedemo.com/,valid
2023-05-22,19:48:24,/html/body/div/div,Mouse_Click,42,https://www.saucedemo.com/,valid
2023-05-22,19:48:25,"id(""login-button"")",Mouse_Click,42,https://www.saucedemo.com/,valid
2023-05-22,19:48:25,"id(""login_credentials"")",Mouse_Click,42,https://www.saucedemo.com/,valid
2023-05-22,19:48:26,/html/body/div/div/div/div[2]/div/div/div/div[3]/div[2]/div/div,Mouse_Click,148,https://www.saucedemo.com/inventory.html,fault
2023-05-22,19:48:27,/html/body/div/div/div/div[2]/div/div/div/div/div[2],Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:27,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=5,valid
2023-05-22,19:48:28,/html/body/div/div/div/div[2]/div,Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=5,valid
2023-05-22,19:48:29,/html/body/div/div/div/div[2]/div/div/div/div[4]/div[2]/div/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:30,/html/body/div/div/div/div[2]/div/div/div/div[2]/div[2],Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:31,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=1,valid
2023-05-22,19:48:31,/html/body/div/div/div/div[2]/div,Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=1,valid
2023-05-22,19:48:32,/html/body/div/div/div/div[2]/div/div/div/div[4]/div[2]/div/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:33,/html/body/div/div/div/div[2]/div/div/div/div[3]/div[2]/div/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:33,/html/body/div/div/div/div[2]/div/div/div/div[3]/div[2],Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:34,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,3,https://www.saucedemo.com/inventory-item.html?id=2,fault
2023-05-22,19:48:34,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,98,https://www.saucedemo.com/login.html,fault
2023-05-22,19:48:34,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=2,valid
2023-05-22,19:48:35,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=2,valid
2023-05-22,19:48:35,/html/body/div/div/div/div[2]/div,Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=2,valid
2023-05-22,19:48:36,/html/body/div/div/div/div[2]/div/div/div/div[5]/div[2]/div/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:37,/html/body/div/div/div/div[2]/div/div/div/div[5]/div[2]/div/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:37,/html/body/div/div/div/div[2]/div/div/div/div[5]/div[2]/div/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:38,/html/body/div/div/div/div[2]/div/div/div/div[4]/div[2],Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:38,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=6,valid
2023-05-22,19:48:39,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=6,valid
2023-05-22,19:48:39,/html/body/div/div/div/div[2]/div,Mouse_Click,11,https://www.saucedemo.com/,fault
2023-05-22,19:48:40,/html/body/div/div/div/div[2]/div/div/div/div[6]/div[2]/div/a/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:40,/html/body/div/div/div/div[2]/div/div/div/div[6]/div[2]/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:41,/html/body/div/div/div/div[2]/div/div/div/div[6]/div[2]/div/a/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:42,/html/body/div/div/div/div[2]/div/div/div/div[6]/div[2]/div/a/div,Mouse_Click,124,https://www.saucedemo.com/login.html,fault
2023-05-22,19:48:43,/html/body/div/div/div/div[2]/div/div/div/div[6]/div[2]/div/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:44,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,148,https://www.saucedemo.com/cart.html,fault
2023-05-22,19:48:44,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,120,https://www.saucedemo.com/inventory-item.html,fault
2023-05-22,19:48:44,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,19,https://www.saucedemo.com/,fault
2023-05-22,19:48:45,/html/body/div/div/div/div[2]/div,Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=4,valid
2023-05-22,19:48:46,/html/body/div/div/footer,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:47,/html/body/div/div/footer,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:48:59,/html/body/div/div/footer,Mouse_Click,44,https://www.saucedemo.com/,fault
2023-05-22,19:49:00,/html/body/div/div/footer,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:00,/html/body/div/div/footer,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:00,/html/body/div/div/footer,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:01,/html/body/div/div/div/div[2]/div/div/div/div[6]/div[2]/div/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:02,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=4,valid
2023-05-22,19:49:02,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=4,valid
2023-05-22,19:49:03,/html/body/div/div/div/div[2]/div,Mouse_Click,146,https://www.saucedemo.com/inventory-item.html,fault
2023-05-22,19:49:04,/html/body/div/div/div/div[2]/div/div/div/div[5]/div[2]/div/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:04,/html/body/div/div/div/div[2]/div/div/div/div[5]/div[2]/div/div,Mouse_Click,51,https://www.saucedemo.com/login.html,fault
2023-05-22,19:49:05,/html/body/div/div/div/div[2]/div/div/div/div[3]/div[2],Mouse_Click,127,https://www.saucedemo.com/inventory.html,fault
2023-05-22,19:49:05,/html/body/div/div/div/div[2]/div/div/div/div[3]/div[2],Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:06,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,51,https://www.saucedemo.com/,fault
2023-05-22,19:49:06,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=2,valid
2023-05-22,19:49:07,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=2,valid
2023-05-22,19:49:07,/html/body/div/div/div/div[2]/div,Mouse_Click,84,https://www.saucedemo.com/inventory-item.html,fault
2023-05-22,19:49:08,/html/body/div/div/div/div[2]/div/div/div/div[6]/div[2]/div/div,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:08,/html/body/div/div/div/div[2]/div/div/div/div[4]/div[2],Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:09,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=6,valid
2023-05-22,19:49:09,/html/body/div/div/div/div[2]/div/div/div[2],Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=6,valid
2023-05-22,19:49:10,/html/body/div/div/div/div[2]/div,Mouse_Click,68,https://www.saucedemo.com/inventory-item.html?id=6,valid
2023-05-22,19:49:13,"id(""inventory_container"")",Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:14,/html/body/div/div/div/div[2]/div/div/div/div/div/a/img,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:16,"id(""inventory_container"")",Mouse_Click,107,https://www.saucedemo.com/inventory.html,fault
2023-05-22,19:49:17,/html/body/div/div/div/div[2]/div/div/div/div/div/a/img,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:19,"id(""inventory_container"")",Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:19,/html/body/div/div/div/div[2]/div/div/div/div/div/a/img,Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:21,"id(""inventory_container"")",Mouse_Click,140,https://www.saucedemo.com/inventory.html,valid
2023-05-22,19:49:21,"id(""inventory_container"")",Mouse_Click,55,https://www.saucedemo.com/cart.html,fault
2023-05-22,19:49:23,/html/body/div/div/div/div/div/div/div/div[2]/div/nav,Mouse_Click,55,https://www.saucedemo.com/inventory.html,fault
2023-05-22,19:49:27,/html/body/div/header/div/div/div/div[2]/div/div/div[2]/div/div/div/div/div[2]/div[2]/div[3]/a/div,Mouse_Click,977,https://saucelabs.com/error/404,valid
2023-05-22,19:49:27,/html/body/div/div[2]/div/div/div/div/div,Mouse_Click,986,https://saucelabs.com/error/404,valid
2023-05-22,19:49:30,/html/body/div/header/div/div/div/div[2]/div/div/div[2]/div/div/div/div/div[2]/div[2]/div[4]/a/div,Mouse_Click,1250,https://saucelabs.com/products/cross-browser-testing,valid
2023-05-22,19:49:31,/html/body/div/header/div/div/div/div[2]/div/div/div[2]/div/div/div/div,Mouse_Click,1346,https://saucelabs.com/products/mobile-testing,valid
2023-05-22,19:49:32,/html/body/div/header/div/div/div/div[2]/div/div/div[2]/div/div/div/div[2]/div[2]/div[2]/div/a/div,Mouse_Click,1213,https://saucelabs.com/products/low-code-testing,valid
2023-05-22,19:49:34,/html/body/div/header/div/div/div/div[2]/div/div/div[2]/div/div/div/div/div[2]/div[2]/div[2]/a/div/div/span,Mouse_Click,20,https://www.saucedemo.com/cart.html,fault
